"name","quantity","weightingms","weight_category"
"24 Mantra Organic Ragi Flour",500,500,"LOW"
"Weikfield Veg Jelly Crystals - Raspberry",90,90,"LOW"
"Britannia Nutri Choice Oats Milk Almond Biscuit",75,75,"LOW"
"Safal Frozen - Mixed Vegetables",1,1000,"medium"
"Chef's Basket Durum Wheat Elbow Pasta",500,500,"LOW"
"Funfoods Peanut Butter Crunchy",400,400,"LOW"
"Popular Essentials Samba Broken Wheat",500,500,"LOW"
"Apple Royal Gala",4,232,"LOW"
"Palmolive Black Orchid And Milk Liquid Hand Wash",250,250,"LOW"
"Tata Salt Lite",1,1000,"medium"
"Ching's Secret Manchurian Instant Noodle",480,480,"LOW"
"Fortune Biriyani Special Basmati Rice",1,1000,"medium"
"Tide Plus Extra Power Lemon & Mint Detergent Powder",2,2000,"medium"
"Sunfeast Mom's Magic Cashew & Almond Biscuits",600,600,"LOW"
"Clean & Clear Morning Energy Berry Face Wash",100,100,"LOW"
"Britannia Vita Marie Gold Biscuit",300,300,"LOW"
"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",1,1000,"medium"
"The Bake Shop Sesame Seed Crackers",150,100,"LOW"
"A1 Biodegradable Garbage Dustbin Bags",30,30,"LOW"
"Popular Essentials Cloves (Lavang)",50,50,"LOW"
"Figaro Sliced Black Olive ",450,450,"LOW"
"Ching's Secret Lemon Coriander Instant Soup",15,15,"LOW"
"Knorr International Mexican Tomato Corn Soup ",52,52,"LOW"
"Borges Extra Light Olive Oil Bottle ",2,2000,"medium"
"Everest Sabji Masala",50,50,"LOW"
"Chakaachak Super Steel Scrubber",1,58,"LOW"
"Maggi Magic Cubes, Vegetarian Masala",40,40,"LOW"
"Amul Cheese Spread Yummy Plain",200,200,"LOW"
"Ching's Secret Schezwan Fried Rice Masala",20,20,"LOW"
"Amul Cheese - Block",500,500,"LOW"
"Eno Fruit Salt Lemon Flavour Energy Powder",100,100,"LOW"
"Origami Good Karma Toilet Roll",1,232,"LOW"
"Chakaachak Floor Cleaning Pocha",1,58,"LOW"
"Engage M4 Perfume Spray For Men",120,120,"LOW"
"L'Oreal 6 Oil Nourish Conditioner",192,192,"LOW"
"Horlicks Protein Plus Chocolate",200,200,"LOW"
"The Whole Truth Mini Protein Bar - Coconut Cocoa No Added Sugar",27,27,"LOW"
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",180,180,"LOW"
"Popular Essentials Dry Dates (Kharak)",250,250,"LOW"
